id_process_stage| id_process| id_stage| id_status_stage| start_date| end_date
221|2021238231|8|2|2021-12-03|2021-12-06
222|2021262233|8|2|2022-01-07|2022-01-10
223|2021270694|8|2|2022-01-07|2022-01-10
224|2021263585|8|2|2022-01-10|2022-01-11
225|2021268811|8|2|2022-01-18|2022-01-19
226|2021268814|8|2|2022-01-19|2022-01-20
227|2022008144|8|2|2022-02-21|2022-02-22
228|2022015560|8|2|2022-03-04|2022-03-07
229|2022019123|8|2|2022-03-08|2022-03-09
230|2022021239|8|2|2022-03-11|2022-03-14
231|2022022067|8|2|2022-03-14|2022-03-15
232|2022022327|8|2|2022-03-14|2022-03-15
233|2022030299|8|2|2022-03-24|2022-03-25
234|2022038327|8|2|2022-04-04|2022-04-05
235|2022038589|8|2|2022-04-04|2022-04-05
236|2022062504|8|2|2022-05-02|2022-05-03
237|2022063636|8|2|2022-05-03|2022-05-04
238|2022071361|8|2|2022-05-12|2022-05-13
239|2022072947|8|2|2022-05-16|2022-05-17
240|2022089630|8|2|2022-06-08|2022-06-09
241|2022089729|8|2|2022-06-08|2022-06-09
242|2022091983|8|2|2022-06-10|2022-06-13
243|2022105176|8|2|2022-06-29|2022-06-30
244|2022106491|8|2|2022-06-30|2022-07-01
245|2022107532|8|2|2022-07-04|2022-07-05
246|2022107533|8|2|2022-07-04|2022-07-05
247|2022107535|8|2|2022-07-04|2022-07-05
248|2022111635|8|2|2022-07-11|2022-07-12
249|2021167596|9|2|2021-09-10|2021-09-13
250|2021202484|9|2|2021-10-27|2021-10-28
251|2021231164|9|2|2021-11-22|2021-11-23
252|2021238231|9|2|2021-12-06|2021-12-07
253|2021262233|9|2|2022-01-10|2022-01-11
254|2021270694|9|2|2022-01-10|2022-01-11
255|2021263585|9|2|2022-01-11|2022-01-12
256|2021268811|9|2|2022-01-19|2022-01-20
257|2021268814|9|2|2022-01-20|2022-01-21
258|2022008144|9|2|2022-02-22|2022-02-23
259|2022015560|9|2|2022-03-07|2022-03-08
260|2022019123|9|2|2022-03-09|2022-03-10
261|2022021239|9|2|2022-03-14|2022-03-15
262|2022022067|9|2|2022-03-15|2022-03-16
263|2022022327|9|2|2022-03-15|2022-03-16
264|2022030299|9|2|2022-03-25|2022-03-28
265|2022038327|9|2|2022-04-05|2022-04-06
266|2022038589|9|2|2022-04-05|2022-04-06
267|2022062504|9|2|2022-05-03|2022-05-04
268|2022063636|9|2|2022-05-04|2022-05-05
269|2022071361|9|2|2022-05-13|2022-05-16
270|2022072947|9|2|2022-05-17|2022-05-18
271|2022089630|9|2|2022-06-09|2022-06-10
272|2022089729|9|2|2022-06-09|2022-06-10
273|2022091983|9|2|2022-06-13|2022-06-14
274|2022105176|9|2|2022-06-30|2022-07-01
275|2022106491|9|2|2022-07-01|2022-07-04
276|2022107532|9|2|2022-07-05|2022-07-06
277|2022107533|9|2|2022-07-05|2022-07-06
278|2022107535|9|2|2022-07-05|2022-07-06
279|2022111635|9|2|2022-07-12|2022-07-13
280|2022127056|4|2|2022-06-28|2022-07-08
281|2022133135|4|2|2022-07-07|2022-07-19
282|2022138095|4|2|2022-07-21|2022-08-02
283|2022138133|4|2|2022-07-21|2022-08-02
284|2101113460|4|2|2024-05-01|2024-05-13
285|2180088787|4|2|2024-05-10|2024-05-22
286|2574965422|4|2|2024-06-28|2024-07-10
287|2732916076|4|1|2024-07-19|
288|2811891403|4|1|2024-07-30|
289|2890866730|4|1|2024-08-09|
290|3048817384|4|1|2024-08-29|
291|3364718692|4|1|2024-10-08|
292|3759595327|4|1|2024-11-27|
293|2022127056|5|1|2022-07-08|
294|2022133135|5|1|2022-07-19|
295|2022138095|5|1|2022-08-02|
296|2022138133|5|1|2022-08-02|
297|2022116046|1|2|2022-06-06|2022-06-06
298|2022118659|1|2|2022-06-08|2022-06-08
299|2022121448|1|2|2022-06-13|2022-06-13
300|2022134916|1|2|2022-07-06|2022-07-06
301|2259064114|1|2|2024-05-14|2024-05-14
302|2338039441|1|2|2024-05-24|2024-05-24
303|2417014768|1|2|2024-06-03|2024-06-03
304|2495990095|1|2|2024-06-13|2024-06-13
305|2653940749|1|2|2024-07-03|2024-07-03
306|2969842057|1|2|2024-08-12|2024-08-12
307|3127792711|1|2|2024-09-01|2024-09-01
308|3206768038|1|2|2024-09-11|2024-09-11
309|3285743365|1|2|2024-09-21|2024-09-21
310|3443694019|1|2|2024-10-11|2024-10-11
311|3522669346|1|2|2024-10-21|2024-10-21
312|3601644673|1|2|2024-10-31|2024-10-31
313|3680620000|1|2|2024-11-10|2024-11-10
314|2022116046|2|2|2022-06-06|2022-06-08
315|2022118659|2|2|2022-06-08|2022-06-10
316|2022121448|2|2|2022-06-13|2022-06-15
317|2022134916|2|2|2022-07-06|2022-07-08
318|2259064114|2|2|2024-05-14|2024-05-16
319|2338039441|2|2|2024-05-24|2024-05-28
320|2417014768|2|2|2024-06-03|2024-06-05
321|2495990095|2|2|2024-06-13|2024-06-17
322|2653940749|2|2|2024-07-03|2024-07-05
323|2969842057|2|2|2024-08-12|2024-08-14
324|3127792711|2|2|2024-09-01|2024-09-03
325|3206768038|2|2|2024-09-11|2024-09-13
326|3285743365|2|2|2024-09-21|2024-09-24
327|3443694019|2|2|2024-10-11|2024-10-15
328|3522669346|2|2|2024-10-21|2024-10-23
329|3601644673|2|2|2024-10-31|2024-11-04
330|3680620000|2|2|2024-11-10|2024-11-12
331|2022116046|3|2|2022-06-08|2022-06-13
332|2022118659|3|2|2022-06-10|2022-06-15
333|2022121448|3|2|2022-06-15|2022-06-20
334|2022134916|3|2|2022-07-08|2022-07-13
335|2259064114|3|2|2024-05-16|2024-05-21
336|2338039441|3|2|2024-05-28|2024-05-31
337|2417014768|3|2|2024-06-05|2024-06-10
338|2495990095|3|2|2024-06-17|2024-06-20
339|2653940749|3|2|2024-07-05|2024-07-10
340|2969842057|3|2|2024-08-14|2024-08-19
341|3127792711|3|2|2024-09-03|2024-09-06
342|3206768038|3|2|2024-09-13|2024-09-18
343|3285743365|3|2|2024-09-24|2024-09-27
344|3443694019|3|2|2024-10-15|2024-10-18
345|3522669346|3|2|2024-10-23|2024-10-28
346|3601644673|3|2|2024-11-04|2024-11-07
347|3680620000|3|2|2024-11-12|2024-11-15
348|2022116046|4|1|2022-06-13|
349|2022118659|4|1|2022-06-15|
350|2022121448|4|1|2022-06-20|
351|2022134916|4|1|2022-07-13|
352|2259064114|4|1|2024-05-21|
353|2338039441|4|1|2024-05-31|
354|2417014768|4|1|2024-06-10|
355|2495990095|4|1|2024-06-20|
356|2653940749|4|1|2024-07-10|
357|2969842057|4|1|2024-08-19|
358|3127792711|4|1|2024-09-06|
359|3206768038|4|1|2024-09-18|
360|3285743365|4|1|2024-09-27|
361|3443694019|4|1|2024-10-18|
362|3522669346|4|1|2024-10-28|
363|3601644673|4|1|2024-11-07|
364|3680620000|4|1|2024-11-15|
365|2022017080|1|2|2022-01-26|2022-01-27
366|2022030298|1|2|2022-02-14|2022-02-15
367|2018021682|1|2|2022-03-10|2022-03-11
368|2022063641|1|2|2022-03-24|2022-03-25
369|2022089733|1|2|2022-04-29|2022-05-02
370|2022106489|1|2|2022-05-23|2022-05-24
371|2022112391|1|2|2022-06-01|2022-06-02
372|2022118662|1|2|2022-06-09|2022-06-10
373|2022017080|2|2|2022-01-27|2022-01-31
374|2022030298|2|2|2022-02-15|2022-02-17
375|2018021682|2|2|2022-03-11|2022-03-15
376|2022063641|2|2|2022-03-25|2022-03-29
377|2022089733|2|2|2022-05-02|2022-05-04
378|2022106489|2|2|2022-05-24|2022-05-26
379|2022112391|2|2|2022-06-02|2022-06-06
380|2022118662|2|2|2022-06-10|2022-06-14
381|2022017080|3|2|2022-01-31|2022-02-04
382|2022030298|3|2|2022-02-17|2022-02-23
383|2018021682|3|2|2022-03-15|2022-03-21
384|2022063641|3|2|2022-03-29|2022-04-04
385|2022089733|3|2|2022-05-04|2022-05-10
386|2022106489|3|2|2022-05-26|2022-06-01
387|2022112391|3|2|2022-06-06|2022-06-10
388|2022118662|3|2|2022-06-14|2022-06-20
389|2022017080|4|2|2022-02-04|2022-02-18
390|2022030298|4|2|2022-02-23|2022-03-09
391|2018021682|4|2|2022-03-21|2022-04-04
392|2022063641|4|2|2022-04-04|2022-04-18
393|2022089733|4|2|2022-05-10|2022-05-24
394|2022106489|4|2|2022-06-01|2022-06-15
395|2022112391|4|2|2022-06-10|2022-06-24
396|2022118662|4|2|2022-06-20|2022-07-04
397|2022017080|5|2|2022-02-18|2022-03-01
398|2022030298|5|2|2022-03-09|2022-03-18
399|2018021682|5|2|2022-04-04|2022-04-13
400|2022063641|5|2|2022-04-18|2022-04-27
401|2022089733|5|2|2022-05-24|2022-06-02
402|2022106489|5|2|2022-06-15|2022-06-24
403|2022112391|5|2|2022-06-24|2022-07-05
404|2022118662|5|2|2022-07-04|2022-07-13
405|2022017080|6|2|2022-03-01|2022-03-09
406|2022030298|6|2|2022-03-18|2022-03-28
407|2018021682|6|2|2022-04-13|2022-04-21
408|2022063641|6|2|2022-04-27|2022-05-05
409|2022089733|6|2|2022-06-02|2022-06-10
410|2022106489|6|2|2022-06-24|2022-07-04
411|2022112391|6|2|2022-07-05|2022-07-13
412|2022118662|6|2|2022-07-13|2022-07-21
413|2022017080|7|2|2022-03-09|2022-03-11
414|2022030298|7|2|2022-03-28|2022-03-30
415|2018021682|7|2|2022-04-21|2022-04-25
416|2022063641|7|2|2022-05-05|2022-05-09
417|2022089733|7|2|2022-06-10|2022-06-14
418|2022106489|7|2|2022-07-04|2022-07-06
419|2022112391|7|2|2022-07-13|2022-07-15
420|2022118662|7|2|2022-07-21|2022-07-25
421|2022017080|8|2|2022-03-11|2022-03-14
422|2022030298|8|2|2022-03-30|2022-03-31
423|2018021682|8|2|2022-04-25|2022-04-26
424|2022063641|8|2|2022-05-09|2022-05-10
425|2022089733|8|2|2022-06-14|2022-06-15
426|2022106489|8|2|2022-07-06|2022-07-07
427|2022112391|8|2|2022-07-15|2022-07-18
428|2022118662|8|2|2022-07-25|2022-07-26
429|2022017080|9|2|2022-03-14|2022-03-15
430|2022030298|9|2|2022-03-31|2022-04-01
431|2018021682|9|2|2022-04-26|2022-04-27
432|2022063641|9|2|2022-05-10|2022-05-11
433|2022089733|9|2|2022-06-15|2022-06-16
434|2022106489|9|2|2022-07-07|2022-07-08
435|2022112391|9|2|2022-07-18|2022-07-19
436|2022118662|9|2|2022-07-26|2022-07-27
